Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
                          Federal  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                          State and Local,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,41.0,90.0,113.0,143.0,156.0,158.0,177.0,175.0,207.0,224.0,225.0,240.0,274.0,295.0,341.0,372.0,341.0
         Department of Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Department of Veterans Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Other Third Party Payers and Programs,30.0,38.0,43.0,44.0,85.0,150.0,98.0,60.0,65.0,71.0,53.0,54.0,60.0,67.0,78.0,81.0,102.0,123.0,127.0,142.0,157.0,167.0,173.0,211.0,253.0,298.0,378.0,464.0,553.0,651.0,700.0,856.0,957.0,796.0,756.0,725.0,805.0,737.0,596.0,412.0,901.0,1971.0,2904.0,3783.0,4012.0,3621.0,2752.0,2083.0,1233.0,615.0,155.0,268.0,500.0,1337.0,2076.0,2352.0
         Worksite Health Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Other Private Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Indian Health Services ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Workers' Compensation,13.0,14.0,14.0,15.0,16.0,16.0,18.0,20.0,21.0,23.0,28.0,27.0,31.0,37.0,46.0,53.0,64.0,76.0,81.0,90.0,98.0,106.0,109.0,135.0,178.0,213.0,287.0,366.0,452.0,545.0,590.0,731.0,819.0,648.0,600.0,564.0,636.0,557.0,412.0,220.0,699.0,1762.0,2688.0,3562.0,3793.0,3403.0,2540.0,1840.0,972.0,366.0,-93.0,36.0,282.0,1108.0,1840.0,2116.0
         General Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Maternal/Child Health,7.0,10.0,10.0,11.0,12.0,14.0,16.0,18.0,21.0,24.0,23.0,26.0,27.0,27.0,29.0,25.0,34.0,44.0,42.0,47.0,54.0,55.0,58.0,69.0,69.0,79.0,84.0,91.0,94.0,98.0,102.0,117.0,130.0,139.0,147.0,153.0,159.0,170.0,174.0,181.0,190.0,196.0,204.0,209.0,207.0,206.0,199.0,230.0,249.0,236.0,234.0,218.0,205.0,216.0,222.0,222.0
                          Federal  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                          State and Local,7.0,10.0,10.0,11.0,12.0,14.0,16.0,18.0,21.0,24.0,23.0,26.0,27.0,27.0,29.0,25.0,34.0,44.0,42.0,47.0,54.0,55.0,58.0,69.0,69.0,79.0,84.0,91.0,94.0,98.0,102.0,117.0,130.0,139.0,147.0,153.0,159.0,170.0,174.0,181.0,190.0,196.0,204.0,209.0,207.0,206.0,199.0,230.0,249.0,236.0,234.0,218.0,205.0,216.0,222.0,222.0
         Vocational Rehabilitation,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,11.0,12.0,12.0,12.0,12.0,12.0,11.0,13.0,13.0,12.0,13.0,14.0,13.0,13.0,13.0,14.0,14.0
                          Federal  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                          State and Local,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,11.0,12.0,12.0,12.0,12.0,12.0,11.0,13.0,13.0,12.0,13.0,14.0,13.0,13.0,13.0,14.0,14.0
         Other Federal Programs*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         SAMHSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Other State and Local Programs**,10.0,13.0,18.0,17.0,56.0,120.0,63.0,21.0,21.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         School Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total CMS Programs (Medicaid, CHIP and Medicare)",0.0,0.0,0.0,0.0,0.0,0.0,25.0,58.0,73.0,86.0,113.0,114.0,150.0,170.0,195.0,240.0,260.0,357.0,352.0,390.0,495.0,529.0,546.0,695.0,809.0,807.0,911.0,1082.0,1183.0,1290.0,1550.0,1708.0,1985.0,2336.0,3468.0,3911.0,2827.0,3446.0,3917.0,4280.0,4722.0,5412.0,5810.0,6331.0,6485.0,6917.0,7824.0,7738.0,8139.0,8384.0,8289.0,8634.0,8532.0,8957.0,9534.0,9519.0
Federal Administration Expenditures,24.0,29.0,36.0,38.0,57.0,87.0,211.0,303.0,421.0,470.0,574.0,625.0,719.0,849.0,1035.0,1172.0,1499.0,1461.0,1846.0,1975.0,2118.0,2458.0,2518.0,2686.0,2954.0,3431.0,3479.0,3564.0,4111.0,4592.0,4939.0,5402.0,5714.0,6129.0,6750.0,7073.0,7239.0,8081.0,8786.0,9808.0,11431.0,12182.0,13801.0,14971.0,16503.0,17609.0,18090.0,19253.0,19782.0,20556.0,21625.0,23496.0,24489.0,26902.0,29631.0,30705.0
     Out of pocket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Health Insurance,12.0,12.0,13.0,13.0,13.0,13.0,159.0,272.0,387.0,436.0,559.0,606.0,699.0,829.0,1014.0,1140.0,1432.0,1393.0,1768.0,1892.0,2035.0,2363.0,2407.0,2585.0,2850.0,3323.0,3375.0,3461.0,3995.0,4473.0,4797.0,5249.0,5546.0,5930.0,6533.0,6852.0,7014.0,7868.0,8560.0,9559.0,11158.0,11871.0,13478.0,14637.0,16159.0,17265.0,17730.0,18883.0,19425.0,20146.0,20920.0,22424.0,22790.0,23946.0,26766.0,28434.0
          Private Health Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Medicare,0.0,0.0,0.0,0.0,0.0,0.0,120.0,193.0,287.0,310.0,397.0,407.0,474.0,548.0,680.0,726.0,879.0,754.0,1002.0,1022.0,1127.0,1308.0,1279.0,1416.0,1549.0,1912.0,1867.0,1858.0,2238.0,2474.0,2455.0,2812.0,3002.0,2801.0,3057.0,3023.0,3279.0,3228.0,3431.0,3671.0,4676.0,4522.0,5099.0,5182.0,6288.0,6494.0,6673.0,6680.0,6873.0,6974.0,7310.0,8229.0,8572.0,8534.0,9481.0,9638.0
          Medicaid (Title XIX),0.0,0.0,0.0,0.0,0.0,0.0,26.0,62.0,79.0,99.0,130.0,161.0,181.0,230.0,276.0,351.0,482.0,568.0,688.0,788.0,821.0,962.0,1019.0,1036.0,1168.0,1281.0,1372.0,1457.0,1601.0,1824.0,2145.0,2253.0,2317.0,2881.0,3202.0,3552.0,3456.0,4337.0,4761.0,5388.0,5803.0,6453.0,7065.0,7733.0,7700.0,8133.0,8095.0,9007.0,9343.0,9656.0,9552.0,10062.0,10313.0,11376.0,13183.0,14383.0
                          Federal  ,0.0,0.0,0.0,0.0,0.0,0.0,26.0,62.0,79.0,99.0,130.0,161.0,181.0,230.0,276.0,351.0,482.0,568.0,688.0,788.0,821.0,962.0,1019.0,1036.0,1168.0,1281.0,1372.0,1457.0,1601.0,1824.0,2145.0,2253.0,2317.0,2881.0,3202.0,3552.0,3456.0,4337.0,4761.0,5388.0,5803.0,6453.0,7065.0,7733.0,7700.0,8133.0,8095.0,9007.0,9343.0,9656.0,9552.0,10062.0,10313.0,11376.0,13183.0,14383.0
                          State and Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          CHIP (Title XIX and Title XXI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,101.0,214.0,269.0,331.0,360.0,360.0,407.0,396.0,473.0,523.0,534.0,570.0,633.0,675.0,758.0,847.0,987.0
                          Federal  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,101.0,214.0,269.0,331.0,360.0,360.0,407.0,396.0,473.0,523.0,534.0,570.0,633.0,675.0,758.0,847.0,987.0
                          State and Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Department of Defense,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,9.0,11.0,13.0,17.0,21.0,25.0,26.0,26.0,29.0,32.0,32.0,35.0,37.0,42.0,53.0,73.0,68.0,68.0,82.0,99.0,111.0,129.0,152.0,131.0,168.0,172.0,194.0,203.0,206.0,234.0,277.0,325.0,385.0,539.0,869.0,1203.0,1609.0,2017.0,2381.0,2595.0,2622.0,2900.0,3451.0,3469.0,3200.0,3225.0,3219.0,3191.0
         Department of Veterans Affairs,10.0,10.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,16.0,19.0,21.0,23.0,26.0,32.0,37.0,41.0,38.0,46.0,47.0,50.0,52.0,55.0,60.0,64.0,61.0,53.0,47.0,45.0,46.0,44.0,53.0,60.0,76.0,80.0,75.0,72.0,68.0,69.0,73.0,80.0,89.0,114.0,158.0,203.0,215.0,184.0,128.0,66.0,82.0,36.0,32.0,31.0,53.0,36.0,235.0
     Other Third Party Payers and Programs,12.0,17.0,23.0,25.0,43.0,74.0,52.0,31.0,34.0,34.0,15.0,19.0,20.0,20.0,21.0,32.0,67.0,68.0,79.0,83.0,84.0,95.0,111.0,101.0,105.0,108.0,105.0,104.0,116.0,120.0,143.0,153.0,168.0,199.0,217.0,221.0,226.0,214.0,227.0,249.0,273.0,310.0,323.0,334.0,344.0,344.0,360.0,369.0,357.0,410.0,705.0,1072.0,1699.0,2956.0,2864.0,2271.0
         Worksite Health Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Other Private Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Indian Health Services ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,9.0,11.0,12.0,13.0,15.0,15.0,17.0,20.0,22.0,21.0,21.0,24.0,28.0,34.0,40.0,45.0,48.0,54.0,59.0,59.0,62.0,67.0,74.0,84.0,91.0,92.0,97.0,98.0,98.0,101.0,101.0,100.0,114.0,139.0,143.0,155.0,154.0,188.0,185.0
         Workers' Compensation,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,8.0,10.0,9.0,7.0,9.0,11.0,12.0,13.0,14.0,15.0,17.0,17.0,17.0,17.0,18.0,18.0,18.0,21.0,25.0,26.0,30.0,36.0,38.0,41.0,48.0,53.0,59.0,79.0,92.0,101.0,102.0,103.0,110.0
         General Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Maternal/Child Health,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0
                          Federal  ,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0
                          State and Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Vocational Rehabilitation,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,6.0,7.0,8.0,8.0,10.0,12.0,14.0,14.0,14.0,14.0,15.0,17.0,18.0,18.0,18.0,19.0,20.0,21.0,23.0,24.0,24.0,26.0,27.0,28.0,29.0,27.0,26.0,27.0,31.0,32.0,33.0,36.0,37.0,39.0,39.0,40.0,38.0,40.0,41.0,40.0,44.0,48.0,48.0,46.0,46.0,46.0,46.0
                          Federal  ,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,6.0,7.0,8.0,8.0,10.0,12.0,14.0,14.0,14.0,14.0,15.0,17.0,18.0,18.0,18.0,19.0,20.0,21.0,23.0,24.0,24.0,26.0,27.0,28.0,29.0,27.0,26.0,27.0,31.0,32.0,33.0,36.0,37.0,39.0,39.0,40.0,38.0,40.0,41.0,40.0,44.0,48.0,48.0,46.0,46.0,46.0,46.0
                          State and Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Other Federal Programs*,10.0,14.0,20.0,22.0,40.0,70.0,47.0,25.0,26.0,24.0,4.0,6.0,6.0,4.0,3.0,0.0,30.0,30.0,35.0,37.0,34.0,43.0,60.0,48.0,49.0,50.0,49.0,43.0,39.0,40.0,45.0,43.0,49.0,59.0,59.0,65.0,84.0,69.0,67.0,73.0,79.0,86.0,97.0,107.0,106.0,107.0,115.0,114.0,98.0,125.0,371.0,715.0,1309.0,2566.0,2444.0,1845.0
         SAMHSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,7.0,9.0,8.0,10.0,9.0,8.0,7.0,4.0,4.0,4.0,5.0,15.0,12.0,22.0,25.0,27.0,43.0,56.0,51.0,35.0,31.0,39.0,46.0,50.0,68.0,65.0,57.0,60.0,58.0,59.0,62.0,62.0,65.0,64.0,70.0,85.0,85.0,80.0,82.0
         Other State and Local Programs**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         School Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total CMS Programs (Medicaid, CHIP and Medicare)",0.0,0.0,0.0,0.0,0.0,0.0,146.0,255.0,366.0,409.0,527.0,568.0,655.0,778.0,956.0,1077.0,1361.0,1322.0,1690.0,1810.0,1948.0,2270.0,2298.0,2452.0,2717.0,3193.0,3239.0,3315.0,3839.0,4298.0,4600.0,5065.0,5319.0,5682.0,6259.0,6575.0,6735.0,7565.0,8214.0,9160.0,10693.0,11244.0,12495.0,13275.0,14348.0,15034.0,15164.0,16160.0,16739.0,17164.0,17432.0,18924.0,19560.0,20668.0,23511.0,25008.0
Net Cost of Health Insurance Expenditures,1018.0,1101.0,1214.0,1251.0,1376.0,1608.0,1734.0,1720.0,2033.0,1786.0,1892.0,2432.0,3403.0,3730.0,3208.0,3428.0,4906.0,7515.0,8896.0,9558.0,9282.0,10944.0,13106.0,14934.0,19615.0,20713.0,17717.0,15908.0,20900.0,27534.0,31558.0,31690.0,34261.0,43001.0,44929.0,45882.0,48806.0,48484.0,49980.0,56029.0,64244.0,71090.0,90082.0,107422.0,115013.0,122972.0,137218.0,143497.0,139753.0,137873.0,153483.0,159304.0,165490.0,173775.0,195312.0,210092.0
     Out of pocket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Health Insurance,852.0,931.0,1020.0,1051.0,1152.0,1355.0,1443.0,1391.0,1641.0,1361.0,1442.0,2021.0,2973.0,3200.0,2638.0,2852.0,4321.0,6775.0,7936.0,8219.0,7703.0,9266.0,11321.0,13363.0,18460.0,19419.0,16456.0,14131.0,18961.0,26004.0,29830.0,30323.0,32256.0,39566.0,40545.0,41277.0,44118.0,44230.0,45837.0,52038.0,59372.0,65432.0,82753.0,98060.0,104911.0,111208.0,124179.0,130967.0,130002.0,130927.0,146598.0,151007.0,155170.0,162359.0,182456.0,195330.0
          Private Health Insurance,852.0,931.0,1020.0,1051.0,1152.0,1355.0,1442.0,1389.0,1637.0,1355.0,1434.0,2012.0,2964.0,3189.0,2625.0,2837.0,4304.0,6757.0,7917.0,8199.0,7684.0,9240.0,11283.0,13287.0,18326.0,19209.0,16182.0,13779.0,18515.0,25431.0,29097.0,29463.0,31162.0,37934.0,38474.0,38616.0,40844.0,39572.0,40361.0,45934.0,52406.0,57178.0,73350.0,88553.0,93766.0,96860.0,101329.0,104833.0,102036.0,98127.0,108295.0,111006.0,112643.0,115608.0,124836.0,127370.0
          Medicare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,26.0,59.0,122.0,194.0,271.0,323.0,386.0,460.0,531.0,627.0,929.0,1182.0,1512.0,1898.0,2943.0,3430.0,3467.0,3820.0,4053.0,3731.0,3485.0,4738.0,6990.0,14720.0,17361.0,18085.0,21569.0,23407.0,24525.0,25837.0,26729.0,28387.0,31580.0
          Medicaid (Title XIX),0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,6.0,8.0,9.0,9.0,10.0,13.0,15.0,17.0,18.0,19.0,20.0,19.0,22.0,28.0,49.0,75.0,88.0,81.0,81.0,122.0,187.0,273.0,329.0,467.0,703.0,889.0,1149.0,1376.0,1715.0,2026.0,2547.0,2968.0,3905.0,5222.0,5546.0,5908.0,6825.0,7525.0,8103.0,9114.0,10416.0,13873.0,14431.0,15732.0,18987.0,28106.0,35115.0
                          Federal  ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.0,6.0,7.0,9.0,10.0,10.0,11.0,11.0,9.0,10.0,13.0,24.0,37.0,42.0,38.0,36.0,55.0,85.0,132.0,185.0,264.0,400.0,508.0,652.0,767.0,966.0,1165.0,1460.0,1697.0,2245.0,2979.0,3290.0,3435.0,3877.0,4273.0,4629.0,5444.0,7071.0,9547.0,8877.0,9079.0,10887.0,17900.0,23497.0
                          State and Local,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,5.0,6.0,7.0,8.0,8.0,9.0,11.0,12.0,15.0,25.0,38.0,46.0,43.0,45.0,68.0,102.0,140.0,144.0,204.0,303.0,380.0,498.0,609.0,749.0,861.0,1087.0,1271.0,1660.0,2243.0,2256.0,2473.0,2948.0,3252.0,3474.0,3670.0,3346.0,4326.0,5555.0,6652.0,8101.0,10206.0,11618.0
          CHIP (Title XIX and Title XXI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,91.0,178.0,296.0,450.0,476.0,499.0,533.0,605.0,670.0,768.0,814.0,1023.0,1045.0,958.0,1034.0,1126.0,1265.0
                          Federal  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,62.0,121.0,203.0,310.0,329.0,347.0,369.0,416.0,463.0,533.0,566.0,705.0,722.0,660.0,712.0,783.0,948.0
                          State and Local,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,30.0,57.0,92.0,140.0,146.0,152.0,164.0,190.0,207.0,235.0,249.0,318.0,322.0,298.0,322.0,343.0,317.0
         Department of Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Department of Veterans Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Other Third Party Payers and Programs,167.0,170.0,194.0,200.0,225.0,253.0,291.0,329.0,392.0,426.0,450.0,411.0,430.0,530.0,570.0,576.0,585.0,741.0,960.0,1338.0,1579.0,1678.0,1785.0,1571.0,1156.0,1294.0,1261.0,1777.0,1939.0,1529.0,1727.0,1367.0,2005.0,3435.0,4384.0,4605.0,4687.0,4254.0,4142.0,3990.0,4872.0,5658.0,7329.0,9362.0,10102.0,11764.0,13039.0,12530.0,9751.0,6946.0,6885.0,8297.0,10321.0,11415.0,12856.0,14763.0
         Worksite Health Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Other Private Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Indian Health Services ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Workers' Compensation,167.0,170.0,194.0,200.0,225.0,253.0,291.0,329.0,392.0,426.0,450.0,411.0,430.0,530.0,570.0,576.0,585.0,741.0,960.0,1338.0,1579.0,1678.0,1785.0,1571.0,1156.0,1294.0,1261.0,1777.0,1939.0,1529.0,1727.0,1367.0,2005.0,3435.0,4384.0,4605.0,4687.0,4254.0,4142.0,3990.0,4872.0,5658.0,7329.0,9362.0,10102.0,11764.0,13039.0,12530.0,9751.0,6946.0,6883.0,8287.0,10281.0,11345.0,12841.0,14763.0
         General Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Maternal/Child Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                          Federal  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                          State and Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Vocational Rehabilitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                          Federal  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                          State and Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Other Federal Programs*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,40.0,70.0,15.0,0.0
         SAMHSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Other State and Local Programs**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         School Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total CMS Programs (Medicaid, CHIP and Medicare)",0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,6.0,8.0,9.0,9.0,10.0,13.0,15.0,17.0,18.0,19.0,20.0,19.0,26.0,39.0,75.0,134.0,210.0,275.0,352.0,445.0,573.0,733.0,860.0,1094.0,1632.0,2071.0,2661.0,3274.0,4658.0,5476.0,6105.0,6966.0,8254.0,9403.0,9507.0,11145.0,14348.0,22850.0,26134.0,27967.0,32799.0,38303.0,40001.0,42527.0,46750.0,57619.0,67960.0
Public Health Activity,371.0,409.0,456.0,509.0,572.0,621.0,733.0,861.0,969.0,1174.0,1356.0,1676.0,1855.0,2123.0,2584.0,2967.0,3213.0,3815.0,4588.0,5375.0,6445.0,7531.0,8621.0,9251.0,9842.0,11212.0,12387.0,13572.0,15267.0,17773.0,19997.0,22129.0,24374.0,26779.0,29594.0,31003.0,32377.0,34832.0,37457.0,40731.0,43050.0,46792.0,52201.0,54233.0,54915.0,57161.0,60803.0,65864.0,71458.0,74056.0,75487.0,74157.0,77242.0,77945.0,79005.0,80926.0
  Federal Funds,102.0,108.0,140.0,208.0,226.0,214.0,294.0,401.0,470.0,564.0,594.0,791.0,893.0,854.0,969.0,1043.0,1110.0,1152.0,1154.0,1108.0,1235.0,1216.0,1141.0,1232.0,1298.0,1326.0,1340.0,1529.0,1795.0,2028.0,2263.0,2607.0,2915.0,3167.0,3630.0,3665.0,3759.0,3931.0,4065.0,4546.0,4879.0,5779.0,8017.0,8903.0,8938.0,9078.0,9424.0,9591.0,9771.0,11876.0,14056.0,10605.0,10723.0,10217.0,10696.0,11289.0
